"id";"ss";"seite";"autor_vorname";"autor_nachname";"titel";"verlag";"ort";"jahr";"verlag_2";"ort_2";"jahr_2";"weitere";"volltext";"status"
74905;1;141;"A.";"Stanislawska";"Im Marchlewskiland";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1932";;;;;"Stanislawska, A.: Im Marchlewskiland. Moskau: Verlagsgen. ausländ. Arbeiter 1932.";"parsed"
74903;1;141;"Karl";"Stamm";"Aus dem Tornister";"Orell Füssli";"Zürich";"1915";;;;;"Stamm, Karl: Aus dem Tornister. Zürich: Orell Füssli 1915.";"parsed"
74902;0;141;"Martin";"Stallmann";"Die Kirche und der Satan";"Vandenhoek & Ruprecht";"Göttingen";"1935";;;;;"Stallmann, Martin: Die Kirche und der Satan. Göttingen: Vandenhoek & Ruprecht 1935.";"parsed"
74901;0;141;"Heinrich";"Stallmann";"Wider das neue Heidentum";"Schriftenverein der ev.-luth. Freikirche";"Zwickau";"1935";;;;;"Stallmann, Heinrich: Wider das neue Heidentum. Zwickau: Schriftenverein der ev.-luth. Freikirche 1935.";"parsed"
74900;0;141;"Josif Vissarionovič";"Stalin";"Sämtliche Schriften von und über ~";;;;;;;;"Stalin, Josif Vissarionovič: Sämtliche Schriften von und über ~.";"parsed"
74899;0;141;"Herbert";"Stahl";"Sämtliche Schriften";;;;;;;;"Stahl, Herbert: Sämtliche Schriften.";"parsed"
74898;1;141;"Johann Heinrich";"Staeubli-Lutz";"Glauben und Schauen";"Rudolf";"Zürich";"1938";;;;;"Staeubli-Lutz, Johann Heinrich: Glauben und Schauen. Zürich: Rudolf 1938.";"parsed"
74897;0;141;;"Staegemann, Georg";"Die eingesperrte Mark";"Selbstverl. o. J";"Berlin";;;;;;"Staegemann, Georg: Die eingesperrte Mark. Berlin: Selbstverl. o. J.";"parsed"
74896;0;141;"Eduard";"Stadtler";"Bolschewismus als Weitgefahr";"Neuer Zeitverl.";"Düsseldorf";"1936";"Weltkriegsrevolution. Leipzig: Köhler";"1. Aufl. u. d. T.";"1920";;"Stadtler, Eduard: Bolschewismus als Weitgefahr. Düsseldorf: Neuer Zeitverl. 1936. — 1. Aufl. u. d. T.: Weltkriegsrevolution. Leipzig: Köhler 1920.";"parsed"
74895;1;141;;;"Stachanow, Alexej ~";"Verlagsgen. ausländ. Arbeiter";" Moskau";" 1936";;;;;"Stachanow, Alexej ~. Moskau: Verlagsgen. ausländ. Arbeiter 1936.";"parsed"
74894;0;141;;;"Staatssicherheit, Die gefährdete ~";"Mopr-Verl.";" Berlin";" 1925";;;;;"Staatssicherheit, Die gefährdete ~. Berlin: Mopr-Verl. 1925.";"parsed"
74893;0;141;;"Staatsanwalt höre";"Heraus mit Margies";"Mopr-Verl.";"Berlin";" 1927";;;;;"Staatsanwalt höre: Heraus mit Margies. Berlin: Mopr-Verl. 1927.";"parsed"
74891;0;0;;;"Spruch, Der ~ von London. Der Reichstagsbrand im Spiegel des Urteils ...";"L. Twrdik";"Prag";"1933";;;;;"Spruch, Der ~ von London. Der Reichstagsbrand im Spiegel des Urteils ... Prag: L. Twrdik 1933.";"ok"
74892;1;141;;;"Staat und Parteien";"Niehans";" Zürich";" 1935";;;;;"Staat und Parteien. Zürich: Niehans 1935.";"parsed"
74889;0;141;"Jenny";"Springer";"Die Ärztin im Hause";"Groh";"Dresden";"1927";;;;;"Springer, Jenny: Die Ärztin im Hause. Dresden: Groh 1927.";"parsed"
74890;0;141;"Max";"Springer";"Oesterreich! Gedichte";"Selbstverl.";"Wien";"1935";;;;;"Springer, Max: Oesterreich! Gedichte. Wien: Selbstverl. 1935.";"parsed"
74888;0;141;"Brunold";"Springer";"Die genialen Syphilitiker";"Verl. d. neuen Generation";"Berlin";"1933";;;;;"Springer, Brunold: Die genialen Syphilitiker. Berlin: Verl. d. neuen Generation 1933.";"parsed"
74887;0;141;"Brunold";"Springer";"Die Blutmischung als Grundgesetz des Lebens";"Verl. d. neuen Generation";"Berlin";"1929";;;;;"Springer, Brunold: Die Blutmischung als Grundgesetz des Lebens. Berlin: Verl. d. neuen Generation 1929.";"parsed"
74886;1;141;;;"Spot, The yellow ~";"Gollancz";" London";" 1936";;;;;"Spot, The yellow ~. London: Gollancz 1936.";"parsed"
